contrast,metric,scope,n,mean_diff,ci_lo,ci_hi,p_raw,direction_consistent,family,p_adj
aam_trans_no_gates/ewckd - transformer_cl/cat,clean MCC,CICIoT,5,-0.3532633558119175,-0.4391007133515659,-0.2385680450083741,0.0625,True,secondary,
aam_trans_no_gates/ewckd - transformer_cl/cat,clean MCC,TONIoT,5,-0.6731592179214392,-0.6801903850596399,-0.6670705935172138,0.0625,True,secondary,
aam_trans_no_gates/ewckd - transformer_cl/cat,clean MCC,STRATIFIED,15,-0.512736559656381,,,9.99950002499875e-05,True,secondary,0.0032998350082495873
dnn/cat - transformer_cl/cat,average accuracy,CICIoMT,5,0.026739999999999986,0.007559999999999989,0.05795999999999997,0.0625,True,secondary,
dnn/cat - transformer_cl/cat,average accuracy,TONIoT,5,0.0004999999999999672,-0.0032000000000000695,0.004200000000000004,0.8125,True,secondary,
dnn/cat - transformer_cl/cat,average accuracy,STRATIFIED,10,0.013619999999999976,,,0.03884805759712014,True,secondary,0.4661766911654417
dnn/cat - transformer_cl/cat,clean MCC,CICIoMT,5,0.028699693240859726,0.0016521560981739957,0.07218099748187261,0.1875,True,secondary,
dnn/cat - transformer_cl/cat,clean MCC,TONIoT,5,0.006243030660490834,-0.004874553771588785,0.013520106450176539,0.4375,True,secondary,
dnn/cat - transformer_cl/cat,clean MCC,STRATIFIED,10,0.01747136195067528,,,0.0463976801159942,True,secondary,0.5103744812759362
dnn/ewckd - transformer_cl/cat,average accuracy,CICIoMT,5,-0.46188,-0.48422,-0.42699999999999994,0.0625,True,secondary,
dnn/ewckd - transformer_cl/cat,average accuracy,CICIoT,5,-0.22001999999999997,-0.26213999999999993,-0.1619,0.0625,True,secondary,
dnn/ewckd - transformer_cl/cat,average accuracy,TONIoT,5,-0.35782,-0.35932000000000003,-0.35653999999999997,0.0625,True,secondary,
dnn/ewckd - transformer_cl/cat,average accuracy,STRATIFIED,15,-0.34657333333333334,,,0.000199990000499975,True,secondary,0.004199790010499475
