DDoS,DoS,Mirai,Recon,Spoofing,Web,BruteForce,Other
0.915396,0.998849,0.086763,0.342446,0.350072,0.505324,0.654676,0.620576
0.000000,0.200000,0.999320,0.988776,0.967687,0.990476,0.928571,0.979252
0.000000,0.000000,0.250000,0.986395,0.985544,0.988095,0.982993,0.985119
0.000000,0.000000,0.000000,0.198716,0.198716,0.198716,0.198716,0.198716
0.000000,0.000000,0.000000,0.000000,0.333144,0.333144,0.333144,0.333144
0.000000,0.000000,0.000000,0.000000,0.000000,0.769634,0.769634,0.769634
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.829337,0.829337
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.917317
