DDoS,DoS,Mirai,Recon,Spoofing,Web,BruteForce,Other
0.915396,0.998417,0.998273,0.084460,0.084460,0.997842,0.084460,0.084460
0.000000,0.199932,0.199592,0.998980,0.998980,0.199592,0.998980,0.998980
0.000000,0.000000,0.249575,0.249575,0.249575,0.249575,0.249575,0.249575
0.000000,0.000000,0.000000,0.198378,0.198378,0.198378,0.198378,0.198378
0.000000,0.000000,0.000000,0.000000,0.332766,0.332766,0.332766,0.332766
0.000000,0.000000,0.000000,0.000000,0.000000,0.768325,0.768325,0.768325
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.827927,0.827927
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.915757
