DDoS,DoS,MQTT,Recon,Spoofing
0.800000,0.199430,0.199430,0.200000,0.200000
0.000000,0.996771,0.199468,0.200038,0.200038
0.000000,0.000000,0.998410,0.193194,0.167435
0.000000,0.000000,0.000000,0.999465,0.281626
0.000000,0.000000,0.000000,0.000000,1.000000
