DDoS,DoS,Mirai,Recon,Spoofing,Web,BruteForce,Other
0.915396,0.084173,0.090504,0.335971,0.341583,0.323597,0.586619,0.594388
0.000000,0.998299,0.992517,0.993197,0.991156,0.970408,0.991497,0.989796
0.000000,0.000000,0.988520,0.987245,0.987245,0.959184,0.985969,0.982568
0.000000,0.000000,0.000000,0.197702,0.412977,0.388983,0.411964,0.395404
0.000000,0.000000,0.000000,0.000000,0.331445,0.291785,0.360907,0.521246
0.000000,0.000000,0.000000,0.000000,0.000000,0.808901,0.778796,0.750000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.820874,0.808181
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.893916
