DDoS,DoS,MQTT,Recon,Spoofing
0.799924,0.200076,0.455634,0.212426,0.407562
0.000000,0.996960,0.734233,0.968655,0.773176
0.000000,0.000000,0.990301,0.941326,0.938146
0.000000,0.000000,0.000000,0.997862,0.940390
0.000000,0.000000,0.000000,0.000000,0.768281
