DDoS,DoS,MQTT,Recon,Spoofing
0.199848,0.000000,0.200038,0.200038,0.200038
0.000000,0.799924,0.200076,0.200076,0.200076
0.000000,0.000000,0.167409,0.167409,0.167409
0.000000,0.000000,0.000000,0.281551,0.281551
0.000000,0.000000,0.000000,0.000000,0.500000
