DDoS,DoS,Mirai,Recon,Spoofing,Web,BruteForce,Other
0.915396,0.084604,0.084748,0.114532,0.233957,0.329784,0.331942,0.334532
0.000000,0.999660,0.999660,0.991499,0.988439,0.948317,0.971778,0.968718
0.000000,0.000000,0.250000,0.992347,0.992772,0.966412,0.987245,0.989796
0.000000,0.000000,0.000000,0.198716,0.198716,0.179115,0.196350,0.198378
0.000000,0.000000,0.000000,0.000000,0.333333,0.473923,0.329365,0.332766
0.000000,0.000000,0.000000,0.000000,0.000000,0.693717,0.773560,0.768325
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.854725,0.866008
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.915757
