DDoS,DoS,Mirai,Recon,Spoofing,Web,BruteForce,Other
0.915396,0.084317,0.084460,0.084604,0.084604,0.062446,0.082590,0.082734
0.000000,0.998639,0.199660,0.200000,0.200000,0.147619,0.195238,0.195578
0.000000,0.000000,0.999150,0.250000,0.250000,0.184524,0.244048,0.244473
0.000000,0.000000,0.000000,0.198716,0.198716,0.146671,0.193984,0.194322
0.000000,0.000000,0.000000,0.000000,0.333144,0.245892,0.325212,0.325779
0.000000,0.000000,0.000000,0.000000,0.000000,0.740838,0.751309,0.752618
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.882934,0.811001
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920437
