DDoS,DoS,Mirai,Recon,Spoofing,Web,BruteForce,Other
0.915396,0.084604,0.084604,0.084604,0.084604,0.000000,0.084604,0.084029
0.000000,0.999660,0.200000,0.999320,0.999320,0.799320,0.221769,0.198639
0.000000,0.000000,0.999575,0.250000,0.250000,0.000000,0.519133,0.248299
0.000000,0.000000,0.000000,0.198716,0.198716,0.000000,0.198716,0.197364
0.000000,0.000000,0.000000,0.000000,0.333144,0.000000,0.333144,0.330878
0.000000,0.000000,0.000000,0.000000,0.000000,0.230366,0.769634,0.764398
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.829337,0.823695
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.925117
