DDoS,DoS,MQTT,Recon,Spoofing
0.199924,0.278411,0.769479,0.802357,0.747624
0.000000,0.992020,0.881626,0.847805,0.894737
0.000000,0.000000,0.995548,0.900938,0.850374
0.000000,0.000000,0.000000,0.998663,0.884759
0.000000,0.000000,0.000000,0.000000,0.974822
