DDoS,DoS,Mirai,Recon,Spoofing,Web,BruteForce,Other
0.915384,0.084616,0.084616,0.084616,0.084616,0.997698,0.084616,0.084616
0.000000,0.998639,0.998639,0.998639,0.998639,0.200000,0.998639,0.200000
0.000000,0.000000,0.249788,0.249788,0.249788,0.249788,0.249788,0.997451
0.000000,0.000000,0.000000,0.198716,0.198716,0.198716,0.198716,0.198716
0.000000,0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333
0.000000,0.000000,0.000000,0.000000,0.000000,0.769634,0.769634,0.769634
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.829337,0.829337
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.917317
