DDoS,DoS,Mirai,Recon,Spoofing,Web,BruteForce,Other
0.915396,0.084604,0.084604,0.084604,0.084604,0.033094,0.084604,0.084604
0.000000,0.999660,0.199932,0.199932,0.199932,0.078205,0.199932,0.199932
0.000000,0.000000,0.997024,0.250000,0.250000,0.097789,0.250000,0.250000
0.000000,0.000000,0.000000,0.198716,0.198716,0.077729,0.198716,0.198716
0.000000,0.000000,0.000000,0.000000,0.333333,0.130385,0.333333,0.333333
0.000000,0.000000,0.000000,0.000000,0.000000,0.513089,0.769634,0.769634
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.829337,0.829337
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.917317
