DDoS,DoS,MQTT,Recon,Spoofing
0.799924,0.000000,0.200076,0.200076,0.200076
0.000000,0.799962,0.200038,0.200038,0.200038
0.000000,0.000000,0.167435,0.167435,0.167435
0.000000,0.000000,0.000000,0.281476,0.281476
0.000000,0.000000,0.000000,0.000000,0.500000
