DDoS,DoS,Mirai,Recon,Spoofing,Web,BruteForce,Other
0.915396,0.084604,0.084604,0.084604,0.084604,0.000000,0.083741,0.084029
0.000000,1.000000,0.199932,0.199932,0.199932,0.000000,0.197892,0.198572
0.000000,0.000000,1.000000,0.250000,0.250000,0.000000,0.247449,0.248299
0.000000,0.000000,0.000000,0.198716,0.198716,0.000000,0.196688,0.197364
0.000000,0.000000,0.000000,0.000000,0.333333,0.000000,0.329932,0.331066
0.000000,0.000000,0.000000,0.000000,0.000000,0.230366,0.761780,0.764398
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.863188,0.823695
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.912637
