DDoS,DoS,MQTT,Recon,Spoofing
0.199924,0.199544,0.199354,0.199734,0.199734
0.000000,0.996580,0.199316,0.199696,0.199696
0.000000,0.000000,0.992209,0.228812,0.167276
0.000000,0.000000,0.000000,0.999733,0.281016
0.000000,0.000000,0.000000,0.000000,0.999525
