DDoS,DoS,Mirai,Recon,Spoofing,Web,BruteForce,Other
0.915396,0.084604,0.084604,0.084604,0.084604,0.084604,0.084604,0.084604
0.000000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000
0.000000,0.000000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000
0.000000,0.000000,0.000000,0.198716,0.198716,0.198716,0.198716,0.198716
0.000000,0.000000,0.000000,0.000000,0.333144,0.333144,0.333144,0.333144
0.000000,0.000000,0.000000,0.000000,0.000000,0.769634,0.769634,0.769634
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.829337,0.829337
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.917317
