DDoS,DoS,Mirai,Recon,Spoofing,Web,BruteForce,Other
0.915396,0.084604,0.999137,0.084604,0.084604,0.880432,0.070360,0.080719
0.000000,0.999660,0.200000,0.999660,0.999660,0.117007,0.959864,0.965646
0.000000,0.000000,0.250000,0.250000,0.250000,0.885629,0.941327,0.953231
0.000000,0.000000,0.000000,0.198716,0.198716,0.227104,0.290639,0.415343
0.000000,0.000000,0.000000,0.000000,0.333144,0.260623,0.271388,0.288385
0.000000,0.000000,0.000000,0.000000,0.000000,0.613874,0.768325,0.772251
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.720733,0.768688
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.794072
