DDoS,DoS,Mirai,Recon,Spoofing,Web,BruteForce,Other
0.915396,0.084604,0.084604,0.084892,0.084604,0.084604,0.355683,0.157842
0.000000,1.000000,0.999660,0.999320,0.998980,0.999320,0.857531,0.992520
0.000000,0.000000,0.250000,0.989796,0.990221,0.991071,0.991497,0.990221
0.000000,0.000000,0.000000,0.198716,0.198716,0.198716,0.198716,0.198716
0.000000,0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333
0.000000,0.000000,0.000000,0.000000,0.000000,0.769634,0.769634,0.769634
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.829337,0.829337
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.917317
