DDoS,DoS,Mirai,Recon,Spoofing,Web,BruteForce,Other
0.915384,0.084616,0.082890,0.053245,0.084616,0.066197,0.084616,0.084616
0.000000,0.999320,0.195918,0.125850,0.200000,0.156463,0.200000,0.200000
0.000000,0.000000,0.994902,0.157179,0.249788,0.195412,0.249788,0.249788
0.000000,0.000000,0.000000,0.765123,0.198716,0.155458,0.198716,0.198716
0.000000,0.000000,0.000000,0.000000,0.333333,0.260771,0.333333,0.333333
0.000000,0.000000,0.000000,0.000000,0.000000,0.725131,0.769634,0.769634
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.829337,0.829337
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.917317
