DDoS,DoS,MQTT,Recon,Spoofing
0.199848,0.200038,0.200608,0.201748,0.200798
0.000000,0.997340,0.987650,0.986510,0.987460
0.000000,0.000000,0.983148,0.967886,0.939587
0.000000,0.000000,0.000000,0.958556,0.887433
0.000000,0.000000,0.000000,0.000000,0.864672
