DDoS,DoS,MQTT,Recon,Spoofing
0.199924,0.199924,0.000000,0.199924,0.199924
0.000000,0.199886,0.000000,0.199886,0.199886
0.000000,0.000000,0.832724,0.167276,0.167276
0.000000,0.000000,0.000000,0.281283,0.281283
0.000000,0.000000,0.000000,0.000000,0.499762
