DDoS,DoS,Mirai,Recon,Spoofing,Web,BruteForce,Other
0.915396,0.998993,0.084748,0.626187,0.644748,0.613094,0.689496,0.657122
0.000000,0.198980,0.999660,0.945578,0.936395,0.842177,0.904422,0.895238
0.000000,0.000000,0.250000,0.986820,0.976616,0.851616,0.956633,0.930697
0.000000,0.000000,0.000000,0.198716,0.409936,0.295370,0.356539,0.334910
0.000000,0.000000,0.000000,0.000000,0.333144,0.399433,0.478754,0.507649
0.000000,0.000000,0.000000,0.000000,0.000000,0.549738,0.793194,0.723822
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.788434,0.699577
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.714509
