DDoS,DoS,MQTT,Recon,Spoofing
0.800152,0.436930,0.766147,0.768237,0.801482
0.000000,0.980426,0.828392,0.876663,0.818130
0.000000,0.000000,0.982827,0.898394,0.897440
0.000000,0.000000,0.000000,0.995989,0.938235
0.000000,0.000000,0.000000,0.000000,0.754753
