DDoS,DoS,MQTT,Recon,Spoofing
0.800152,0.199468,0.199848,0.199848,0.199848
0.000000,0.994679,0.199924,0.199924,0.199924
0.000000,0.000000,0.972174,0.174114,0.167276
0.000000,0.000000,0.000000,0.999198,0.281283
0.000000,0.000000,0.000000,0.000000,0.998574
