dataset,seed,backbone,variant,n_tasks,AA,BWT,remembering_rate,CFI,clean_acc,clean_mcc,clean_f1,clean_bal_acc,sel_acc,sel_mcc,fgsm_acc,fgsm_mcc,fgsm_asr,pgd_acc,pgd_mcc,pgd_asr,square_acc,square_mcc,transfer_acc,transfer_mcc,epochs,epsilon,beta,ewc_lambda,status
TONIoT,1,transformer_cl,kd,9,0.5414,-0.4272,0.5605,0.4123,0.163,0.14785567729393054,0.070227570214688,0.18720831204224153,0.11870766977850998,0.14168193172692978,0.12333333333333334,0.08659074697796049,25.357873210633947,0.12333333333333334,0.08725424324363444,25.357873210633947,0.12333333333333334,0.08659074697796049,0.12333333333333334,0.08823931882849068,20,0.1,6.0,1000.0,ok
CICIoT,1,transformer_cl,kd,8,0.4478,-0.2621,0.9836,0.3386,0.11666666666666667,0.0,0.024378109452736316,0.1111111111111111,0.03931833370461127,0.0,0.11666666666666667,0.0,0.0,0.11666666666666667,0.0,0.0,0.11666666666666667,0.0,0.11666666666666667,0.0,20,0.1,6.0,1000.0,ok
CICIoMT,7,transformer_cl,kd,5,0.3698,-0.7351,0.2252,0.6139,0.3333333333333333,0.266478248279234,0.17260608521027349,0.3333333333333333,0.11400180668473352,0.09373630353613299,0.3333333333333333,0.26638494484787467,0.0,0.3333333333333333,0.2667141499634223,0.0,0.3333333333333333,0.2638581209779409,0.3333333333333333,0.26574856569380856,20,0.1,6.0,1000.0,ok
TONIoT,7,transformer_cl,kd,9,0.5451,-0.4247,0.5641,0.4092,0.16,0.1426866541201185,0.06834389273611315,0.1848086124401914,0.11751784733662822,0.13896109616315117,0.11733333333333333,0.07535548732384462,27.708333333333336,0.11766666666666667,0.07596725487173392,27.500000000000004,0.11333333333333333,0.06685394308980831,0.11666666666666667,0.07568772352820982,20,0.1,6.0,1000.0,ok
CICIoT,7,transformer_cl,kd,8,0.4479,-0.2629,0.9820,0.3394,0.11466666666666667,0.0,0.02359170653907496,0.1111111111111111,0.03931833370461127,0.0,0.11466666666666667,0.0,0.0,0.11466666666666667,0.0,0.0,0.11466666666666667,0.0,0.11466666666666667,0.0,20,0.1,6.0,1000.0,ok
CICIoMT,13,transformer_cl,kd,5,0.3692,-0.5845,0.4120,0.5588,0.3333333333333333,0.27318597810969913,0.17730968022199173,0.3333333333333333,0.11418247515808491,0.09747563915976544,0.333,0.27198408345308045,0.1,0.333,0.2718551591599637,0.1,0.333,0.2734505892756949,0.3333333333333333,0.27776413280702067,20,0.1,6.0,1000.0,ok
TONIoT,13,transformer_cl,kd,9,0.5435,-0.4227,0.5641,0.4088,0.162,0.1331781032386436,0.06094025600501189,0.1873558710487097,0.11788394654951492,0.11808740937340795,0.13933333333333334,0.10160566235020202,14.609053497942387,0.13833333333333334,0.1001025127593459,15.22633744855967,0.13966666666666666,0.10267222130201885,0.142,0.10954362316372748,20,0.1,6.0,1000.0,ok
CICIoT,13,transformer_cl,kd,8,0.4478,-0.2621,0.9836,0.3386,0.11566666666666667,0.0,0.02398346778209342,0.1111111111111111,0.03931833370461127,0.0,0.11566666666666667,0.0,0.0,0.11566666666666667,0.0,0.0,0.11566666666666667,0.0,0.11566666666666667,0.0,20,0.1,6.0,1000.0,ok
CICIoMT,21,transformer_cl,kd,5,0.3654,-0.5771,0.4146,0.5582,0.3273333333333333,0.2494926174104412,0.16425681680904847,0.3273333333333333,0.11102077687443541,0.0860896620184957,0.3333333333333333,0.25827747545027,0.0,0.3333333333333333,0.2582196055287043,0.0,0.3333333333333333,0.25819911925759137,0.3333333333333333,0.2626506055868124,20,0.1,6.0,1000.0,ok
TONIoT,21,transformer_cl,kd,9,0.5466,-0.4217,0.5666,0.4068,0.162,0.14617064134931287,0.07199008774585372,0.1834110399437455,0.11889071938495333,0.14563171376901293,0.12,0.08194494866631756,27.36625514403292,0.12,0.08201972655550034,27.36625514403292,0.12,0.08187035942322088,0.11733333333333333,0.07802081363020816,20,0.1,6.0,1000.0,ok
